Rank,Name,Industry,Revenue (USD billions),Employees,Headquarters
1,Cargill,Food industry,177,"160,000","Minnetonka, Minnesota"
2,Koch Industries,Conglomerate,125,"120,000","Wichita, Kansas"
3,Publix Super Markets,Retail,54.5,"250,000","Winter Haven, Florida"
4,"Mars, Incorporated",Food industry,47,"140,000","McLean, Virginia"
5,H-E-B,Retail,43.6,"145,000","San Antonio, Texas"
6,Reyes Holdings,Wholesaling,40,"36,000","Rosemont, Illinois"
7,Enterprise Holdings,Car rental,35,"90,000","Clayton, Missouri"
8,C&S Wholesale Grocers,Wholesaling,34.7,"15,000","Keene, New Hampshire"
9,Love's,Petroleum industry and Retail,26.5,"40,000","Oklahoma City, Oklahoma"
10,Southern Glazer's Wine and Spirits,Food industry,26.0,"24,000","Miramar, Florida"
